employee_id,review_cycle,review_date,performance_rating_recorded,performance_rating_std,scale_type,potential_rating,promotion_ready_flag,manager_id,job_level,country,department,business_unit
340,2016,2016-11-20,2,Developing,numeric,Low,false,373,IC1,AR,Planning,Supply Chain
341,2016,2016-11-20,1,Below Expectations,numeric,High,false,8,M1,AR,Sales,Retail
342,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,288,IC1,BR,Customer Operations,Customer
343,2016,2016-11-20,3,Meets Expectations,numeric,High,false,261,M1,AR,Sales,Retail
344,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,339,IC2,AR,Planning,Supply Chain
345,2016,2016-11-20,3,Meets Expectations,numeric,High,false,364,IC1,AR,Logistics,Supply Chain
346,2016,2016-11-20,5,Outstanding,numeric,Low,false,379,IC1,AR,Sales,Retail
347,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,401,IC1,AR,Customer Service,Customer
349,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,396,IC1,AR,Regional Operations,Retail
352,2016,2016-11-20,5,Outstanding,numeric,High,false,363,IC3,AR,Marketing,Corporate
354,2016,2016-11-20,5,Outstanding,numeric,Low,false,375,IC1,AR,Store Operations,Retail
355,2016,2016-11-20,2,Developing,numeric,Low,false,339,IC2,AR,Planning,Supply Chain
357,2016,2016-11-20,2,Developing,numeric,Medium,false,416,IC3,AR,Distribution Centers,Supply Chain
358,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,365,IC1,AR,Visual Merchandising,Retail
360,2016,2016-11-20,3,Meets Expectations,numeric,High,false,362,IC1,AR,Sales,Retail
362,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,341,IC2,AR,Sales,Retail
363,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,307,M1,AR,Visual Merchandising,Retail
364,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,339,IC2,AR,Logistics,Supply Chain
365,2016,2016-11-20,3,Meets Expectations,numeric,High,false,363,IC3,AR,Visual Merchandising,Retail
366,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,379,IC1,AR,Sales,Retail
367,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,344,IC1,AR,Customer Service,Customer
368,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,357,IC2,AR,Logistics,Supply Chain
370,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,379,IC1,AR,Regional Operations,Retail
373,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,339,IC2,AR,Planning,Supply Chain
374,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,357,IC1,AR,Distribution Centers,Supply Chain
375,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,416,IC3,AR,Store Operations,Retail
378,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,362,IC1,AR,Regional Operations,Retail
379,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,343,IC2,AR,Sales,Retail
380,2016,2016-11-20,2,Developing,numeric,High,false,375,IC1,AR,Store Operations,Retail
381,2016,2016-11-20,3,Meets Expectations,numeric,High,false,238,IC1,BR,Visual Merchandising,Retail
382,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,365,IC1,AR,Visual Merchandising,Retail
383,2016,2016-11-20,3,Meets Expectations,numeric,Low,true,326,IC1,BR,Sales,Retail
384,2016,2016-11-20,2,Developing,numeric,High,false,202,IC2,BR,Data & Analytics,Corporate
386,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,11,IC1,BR,Visual Merchandising,Retail
390,2016,2016-11-20,3,Meets Expectations,numeric,High,false,116,IC1,BR,Product,Digital
391,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,144,IC2,BR,Sales,Retail
392,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,248,IC1,BR,Risk,Corporate
393,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,146,IC1,BR,Regional Operations,Retail
395,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,34,IC2,BR,Regional Operations,Retail
396,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,341,IC2,AR,Sales,Retail
398,2016,2016-11-20,2,Developing,numeric,Medium,false,227,IC2,BR,Data & Analytics,Corporate
399,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,144,IC2,BR,Sales,Retail
400,2016,2016-11-20,3,Meets Expectations,numeric,High,false,48,IC1,BR,Distribution Centers,Supply Chain
401,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,339,IC2,AR,Planning,Supply Chain
403,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,196,IC3,BR,Legal,Corporate
404,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,192,IC3,BR,Product,Digital
405,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,453,IC1,BR,Procurement,Supply Chain
406,2016,2016-11-20,1,Below Expectations,numeric,Medium,false,196,IC4,BR,Legal,Corporate
407,2016,2016-11-20,2,Developing,numeric,High,false,375,IC1,AR,Store Operations,Retail
408,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,273,IC2,BR,Visual Merchandising,Retail
410,2016,2016-11-20,3,Meets Expectations,numeric,High,false,4,IC1,BR,Customer Service,Customer
411,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,90,IC1,BR,Customer Experience,Customer
413,2016,2016-11-20,2,Developing,numeric,Low,false,252,IC2,BR,Customer Operations,Customer
414,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,408,IC1,BR,Visual Merchandising,Retail
415,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,true,12,IC1,BR,Regional Operations,Retail
416,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,70,IC5,BR,Engineering,Digital
417,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,399,IC1,BR,Sales,Retail
418,2016,2016-11-20,2,Developing,numeric,High,false,127,IC1,BR,Store Operations,Retail
419,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,false,413,IC1,BR,Customer Operations,Customer
420,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,8,IC3,BR,Digital Marketing,Digital
422,2016,2016-11-20,3,Meets Expectations,numeric,High,false,408,IC1,BR,Visual Merchandising,Retail
423,2016,2016-11-20,2,Developing,numeric,Medium,false,391,IC1,BR,Customer Service,Customer
424,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,170,IC1,BR,Strategy,Corporate
425,2016,2016-11-20,4,Exceeds Expectations,numeric,Medium,true,9,IC1,BR,Planning,Supply Chain
426,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,92,IC3,BR,Data & Analytics,Corporate
427,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,413,IC1,BR,Customer Operations,Customer
428,2016,2016-11-20,3,Meets Expectations,numeric,High,false,252,IC2,BR,Customer Operations,Customer
429,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,459,IC1,BR,Sales,Retail
430,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,319,IC2,BR,Procurement,Supply Chain
1,2017,2017-11-20,1,Below Expectations,numeric,High,false,12,IC1,BR,Regional Operations,Retail
3,2017,2017-11-20,3,Meets Expectations,numeric,High,false,48,IC1,BR,Distribution Centers,Supply Chain
8,2017,2017-11-20,2,Developing,numeric,Medium,true,121,M2,BR,Digital Marketing,Digital
9,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,335,IC3,BR,Planning,Supply Chain
10,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,309,M4,BR,Procurement,Supply Chain
11,2017,2017-11-20,2,Developing,numeric,High,false,273,IC2,BR,Visual Merchandising,Retail
12,2017,2017-11-20,3,Meets Expectations,numeric,High,false,98,IC3,BR,Regional Operations,Retail
13,2017,2017-11-20,5,Outstanding,numeric,Low,false,174,IC1,BR,Regional Operations,Retail
14,2017,2017-11-20,3,Meets Expectations,numeric,Low,true,309,M3,BR,Marketing,Corporate
16,2017,2017-11-20,3,Meets Expectations,numeric,Low,true,90,IC1,BR,Customer Experience,Customer
17,2017,2017-11-20,3,Meets Expectations,numeric,Medium,true,26,IC1,BR,Sales,Retail
18,2017,2017-11-20,1,Below Expectations,numeric,Low,false,98,IC3,BR,Regional Operations,Retail
20,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,48,IC1,BR,Distribution Centers,Supply Chain
21,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,585,IC2,BR,Sales,Retail
24,2017,2017-11-20,2,Developing,numeric,Low,false,585,IC2,BR,Sales,Retail
26,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,585,IC2,BR,Sales,Retail
27,2017,2017-11-20,3,Meets Expectations,numeric,High,false,98,IC3,BR,Regional Operations,Retail
28,2017,2017-11-20,3,Meets Expectations,numeric,High,false,630,IC2,BR,Finance,Corporate
29,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,193,IC5,BR,Strategy,Corporate
30,2017,2017-11-20,2,Developing,numeric,High,false,165,IC1,BR,Customer Operations,Customer
31,2017,2017-11-20,5,Outstanding,numeric,Medium,false,34,IC2,BR,Regional Operations,Retail
32,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,294,IC2,BR,Visual Merchandising,Retail
33,2017,2017-11-20,2,Developing,numeric,Low,false,61,IC1,BR,Sales,Retail
34,2017,2017-11-20,5,Outstanding,numeric,Low,false,98,IC3,BR,Regional Operations,Retail
36,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,48,IC1,BR,Distribution Centers,Supply Chain
42,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,585,IC2,BR,Sales,Retail
43,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,517,IC2,BR,Distribution Centers,Supply Chain
45,2017,2017-11-20,2,Developing,numeric,High,false,187,IC4,BR,Procurement,Corporate
46,2017,2017-11-20,2,Developing,numeric,Low,true,49,IC1,BR,Procurement,Supply Chain
47,2017,2017-11-20,2,Developing,numeric,Medium,false,45,IC3,BR,Procurement,Corporate
48,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,297,IC3,BR,Distribution Centers,Supply Chain
49,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,430,IC1,BR,Procurement,Supply Chain
50,2017,2017-11-20,3,Meets Expectations,numeric,High,false,384,IC1,BR,Data & Analytics,Corporate
55,2017,2017-11-20,3,Meets Expectations,numeric,High,false,119,IC2,BR,Legal,Corporate
57,2017,2017-11-20,4,Exceeds Expectations,numeric,High,false,156,IC1,BR,People,Corporate
59,2017,2017-11-20,4,Exceeds Expectations,numeric,High,false,162,IC1,BR,Strategy,Corporate
60,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,321,IC4,BR,Marketing,Corporate
61,2017,2017-11-20,4,Exceeds Expectations,numeric,High,false,585,IC2,BR,Sales,Retail
62,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,,D1,BR,Procurement,Corporate
63,2017,2017-11-20,4,Exceeds Expectations,numeric,High,false,48,IC1,BR,Distribution Centers,Supply Chain
64,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,139,IC1,BR,Sales,Retail
65,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,14,M2,BR,Sales,Retail
66,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,21,IC1,BR,Store Operations,Retail
69,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,276,IC1,BR,Logistics,Supply Chain
70,2017,2017-11-20,2,Developing,numeric,Medium,false,121,M2,BR,Data,Digital
71,2017,2017-11-20,1,Below Expectations,numeric,High,false,273,IC2,BR,Visual Merchandising,Retail
72,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,73,IC1,BR,Risk,Corporate
73,2017,2017-11-20,3,Meets Expectations,numeric,High,true,261,IC2,BR,Risk,Corporate
74,2017,2017-11-20,4,Exceeds Expectations,numeric,High,false,160,IC1,BR,Sales,Retail
75,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,155,IC1,BR,Legal,Corporate
76,2017,2017-11-20,2,Developing,numeric,Low,false,200,IC1,BR,People,Corporate
77,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,467,IC2,BR,Store Operations,Retail
78,2017,2017-11-20,2,Developing,numeric,High,false,586,IC2,BR,Visual Merchandising,Retail
79,2017,2017-11-20,5,Outstanding,numeric,High,false,65,M1,BR,Sales,Retail
80,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,31,IC1,BR,Regional Operations,Retail
81,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,281,M1,BR,Product,Digital
82,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,187,IC4,BR,Procurement,Corporate
83,2017,2017-11-20,1,Below Expectations,numeric,Medium,false,242,IC1,BR,Customer Service,Customer
84,2017,2017-11-20,5,Outstanding,numeric,High,false,318,IC1,BR,Procurement,Supply Chain
85,2017,2017-11-20,3,Meets Expectations,numeric,Low,true,391,IC1,BR,Sales,Retail
86,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,177,IC4,BR,Engineering,Digital
88,2017,2017-11-20,2,Developing,numeric,High,false,138,IC2,BR,Procurement,Corporate
89,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,218,IC3,BR,Finance,Corporate
90,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,194,IC2,BR,Customer Experience,Customer
91,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,308,IC1,BR,Store Operations,Retail
92,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,196,IC4,BR,Data & Analytics,Corporate
93,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,189,IC1,BR,Customer Service,Customer
94,2017,2017-11-20,2,Developing,numeric,High,false,316,IC1,BR,Store Operations,Retail
95,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,251,IC1,BR,Regional Operations,Retail
96,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,142,IC1,BR,Visual Merchandising,Retail
98,2017,2017-11-20,3,Meets Expectations,numeric,Low,true,65,M1,BR,Regional Operations,Retail
100,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,254,IC2,BR,Finance,Corporate
101,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,550,IC1,BR,Customer Operations,Customer
102,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,90,IC1,BR,Customer Experience,Customer
105,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,296,IC1,BR,Finance,Corporate
106,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,199,IC2,BR,E-commerce,Digital
107,2017,2017-11-20,2,Developing,numeric,Low,false,139,IC1,BR,Sales,Retail
109,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,48,IC2,BR,Distribution Centers,Supply Chain
113,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,183,IC2,BR,People,Corporate
115,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,518,IC2,BR,Regional Operations,Retail
116,2017,2017-11-20,3,Meets Expectations,numeric,Low,true,404,IC2,BR,Product,Digital
117,2017,2017-11-20,3,Meets Expectations,numeric,High,false,261,IC2,BR,Risk,Corporate
118,2017,2017-11-20,2,Developing,numeric,Medium,false,81,IC2,BR,Product,Digital
119,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,196,IC4,BR,Legal,Corporate
121,2017,2017-11-20,1,Below Expectations,numeric,High,false,309,M4,BR,Sales,Retail
123,2017,2017-11-20,3,Meets Expectations,numeric,High,true,242,IC1,BR,Customer Service,Customer
126,2017,2017-11-20,2,Developing,numeric,Low,false,568,IC1,BR,Logistics,Supply Chain
128,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,585,IC2,BR,Sales,Retail
130,2017,2017-11-20,1,Below Expectations,numeric,Low,false,90,IC1,BR,Customer Experience,Customer
131,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,189,IC1,BR,Store Operations,Retail
132,2017,2017-11-20,1,Below Expectations,numeric,Low,false,494,IC1,BR,Strategy,Corporate
133,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,90,IC1,BR,Customer Experience,Customer
134,2017,2017-11-20,1,Below Expectations,numeric,Low,false,189,IC1,BR,Customer Service,Customer
137,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,166,IC1,BR,Procurement,Corporate
138,2017,2017-11-20,3,Meets Expectations,numeric,High,false,45,IC3,BR,Procurement,Corporate
139,2017,2017-11-20,2,Developing,numeric,Low,false,585,IC2,BR,Sales,Retail
140,2017,2017-11-20,1,Below Expectations,numeric,Medium,false,14,M1,BR,Visual Merchandising,Retail
141,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,65,M1,BR,Sales,Retail
142,2017,2017-11-20,3,Meets Expectations,numeric,High,false,585,IC2,BR,Sales,Retail
143,2017,2017-11-20,2,Developing,numeric,Low,true,430,IC1,BR,Procurement,Supply Chain
146,2017,2017-11-20,2,Developing,numeric,Medium,false,34,IC2,BR,Regional Operations,Retail
148,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,9,IC1,BR,Planning,Supply Chain
149,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,48,IC1,BR,Distribution Centers,Supply Chain
150,2017,2017-11-20,2,Developing,numeric,Low,false,461,IC1,BR,Customer Service,Customer
152,2017,2017-11-20,5,Outstanding,numeric,Medium,true,205,IC2,BR,UX,Digital
153,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,70,M1,BR,Data,Digital
155,2017,2017-11-20,5,Outstanding,numeric,Medium,true,119,IC2,BR,Legal,Corporate
156,2017,2017-11-20,1,Below Expectations,numeric,Low,false,278,IC2,BR,People,Corporate
158,2017,2017-11-20,2,Developing,numeric,Low,false,302,IC1,BR,Procurement,Supply Chain
160,2017,2017-11-20,2,Developing,numeric,Medium,false,585,IC2,BR,Sales,Retail
162,2017,2017-11-20,4,Exceeds Expectations,numeric,High,false,79,IC4,BR,Sales,Retail
165,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,252,IC2,BR,Customer Operations,Customer
166,2017,2017-11-20,3,Meets Expectations,numeric,High,false,517,IC2,BR,Distribution Centers,Supply Chain
167,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,522,IC1,BR,Store Operations,Retail
169,2017,2017-11-20,5,Outstanding,numeric,Medium,false,238,IC1,BR,Visual Merchandising,Retail
171,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,194,IC4,BR,Customer Service,Customer
172,2017,2017-11-20,2,Developing,numeric,Medium,false,420,IC2,BR,Digital Marketing,Digital
173,2017,2017-11-20,1,Below Expectations,numeric,Low,false,294,IC2,BR,Visual Merchandising,Retail
174,2017,2017-11-20,3,Meets Expectations,numeric,Low,true,34,IC2,BR,Regional Operations,Retail
175,2017,2017-11-20,3,Meets Expectations,numeric,Medium,true,286,IC2,BR,Procurement,Corporate
177,2017,2017-11-20,1,Below Expectations,numeric,Low,false,528,IC5,BR,UX,Digital
179,2017,2017-11-20,2,Developing,numeric,Low,false,9,IC1,BR,Planning,Supply Chain
181,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,14,M1,BR,Visual Merchandising,Retail
182,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,77,IC1,BR,Store Operations,Retail
183,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,327,IC4,BR,People,Corporate
186,2017,2017-11-20,2,Developing,numeric,Low,false,26,IC1,BR,Sales,Retail
187,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,62,M2,BR,Procurement,Corporate
188,2017,2017-11-20,1,Below Expectations,numeric,High,false,276,IC1,BR,Logistics,Supply Chain
189,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,171,IC2,BR,Customer Service,Customer
191,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,42,IC1,BR,Sales,Retail
192,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,310,IC5,BR,Product,Digital
193,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,261,M1,BR,Strategy,Corporate
194,2017,2017-11-20,2,Developing,numeric,Low,false,246,M1,BR,Customer Experience,Customer
195,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,47,IC1,BR,Procurement,Corporate
196,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,321,M3,BR,Legal,Corporate
197,2017,2017-11-20,4,Exceeds Expectations,numeric,High,false,70,IC4,BR,Data,Digital
199,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,310,IC3,BR,E-commerce,Digital
200,2017,2017-11-20,5,Outstanding,numeric,Low,false,298,IC2,BR,People,Corporate
201,2017,2017-11-20,3,Meets Expectations,numeric,High,false,585,IC2,BR,Sales,Retail
203,2017,2017-11-20,3,Meets Expectations,numeric,High,false,32,IC1,BR,Visual Merchandising,Retail
205,2017,2017-11-20,3,Meets Expectations,numeric,High,false,177,IC4,BR,UX,Digital
206,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,277,IC1,BR,Logistics,Supply Chain
207,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,71,IC1,BR,Visual Merchandising,Retail
208,2017,2017-11-20,3,Meets Expectations,numeric,High,false,212,M2,BR,Regional Operations,Retail
210,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,true,416,IC4,BR,Engineering,Digital
212,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,309,M4,BR,Visual Merchandising,Retail
214,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,210,IC2,BR,Engineering,Digital
215,2017,2017-11-20,3,Meets Expectations,numeric,High,false,138,IC2,BR,Procurement,Corporate
216,2017,2017-11-20,2,Developing,numeric,High,false,433,IC2,BR,Customer Experience,Customer
217,2017,2017-11-20,2,Developing,numeric,High,false,142,IC1,BR,Visual Merchandising,Retail
218,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,193,IC4,BR,Strategy,Corporate
220,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,282,IC1,BR,Regional Operations,Retail
223,2017,2017-11-20,3,Meets Expectations,numeric,Low,true,294,IC2,BR,Visual Merchandising,Retail
224,2017,2017-11-20,2,Developing,numeric,Medium,false,294,IC2,BR,Visual Merchandising,Retail
227,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,92,IC3,BR,Data & Analytics,Corporate
229,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,174,IC1,BR,Regional Operations,Retail
232,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,92,IC3,BR,Data & Analytics,Corporate
233,2017,2017-11-20,1,Below Expectations,numeric,Medium,false,14,M1,BR,Visual Merchandising,Retail
238,2017,2017-11-20,2,Developing,numeric,Low,false,273,IC2,BR,Visual Merchandising,Retail
241,2017,2017-11-20,3,Meets Expectations,numeric,High,false,165,IC1,BR,Customer Operations,Customer
242,2017,2017-11-20,3,Meets Expectations,numeric,Medium,true,171,IC2,BR,Customer Service,Customer
243,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,171,IC3,BR,Customer Service,Customer
244,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,172,IC1,BR,Digital Marketing,Digital
245,2017,2017-11-20,3,Meets Expectations,numeric,High,false,199,IC2,BR,E-commerce,Digital
246,2017,2017-11-20,3,Meets Expectations,numeric,High,false,10,M2,BR,Planning,Supply Chain
248,2017,2017-11-20,2,Developing,numeric,Low,false,261,IC2,BR,Risk,Corporate
250,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,399,IC1,BR,Sales,Retail
251,2017,2017-11-20,3,Meets Expectations,numeric,High,false,34,IC2,BR,Regional Operations,Retail
252,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,303,M1,BR,Customer Operations,Customer
254,2017,2017-11-20,5,Outstanding,numeric,Medium,false,60,IC3,BR,Finance,Corporate
256,2017,2017-11-20,1,Below Expectations,numeric,Low,false,201,IC1,BR,Sales,Retail
258,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,316,IC1,BR,Store Operations,Retail
261,2017,2017-11-20,4,Exceeds Expectations,numeric,High,false,321,M2,BR,Risk,Corporate
262,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,21,IC1,BR,Store Operations,Retail
263,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,288,IC1,BR,Customer Operations,Customer
264,2017,2017-11-20,3,Meets Expectations,numeric,High,false,14,M1,BR,Visual Merchandising,Retail
269,2017,2017-11-20,3,Meets Expectations,numeric,High,false,77,IC1,BR,Store Operations,Retail
270,2017,2017-11-20,2,Developing,numeric,High,false,273,IC2,BR,Visual Merchandising,Retail
272,2017,2017-11-20,3,Meets Expectations,numeric,Medium,true,479,IC1,BR,Visual Merchandising,Retail
273,2017,2017-11-20,3,Meets Expectations,numeric,High,false,140,IC3,BR,Visual Merchandising,Retail
274,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,115,IC1,BR,Regional Operations,Retail
275,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,308,IC1,BR,Store Operations,Retail
276,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,162,IC2,BR,Logistics,Supply Chain
277,2017,2017-11-20,3,Meets Expectations,numeric,High,false,162,IC2,BR,Logistics,Supply Chain
278,2017,2017-11-20,4,Exceeds Expectations,numeric,High,false,327,IC3,BR,People,Corporate
279,2017,2017-11-20,2,Developing,numeric,Medium,false,142,IC1,BR,Visual Merchandising,Retail
280,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,467,IC2,BR,Store Operations,Retail
281,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,121,M2,BR,E-commerce,Digital
282,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,34,IC2,BR,Regional Operations,Retail
283,2017,2017-11-20,1,Below Expectations,numeric,Medium,false,86,IC3,BR,Engineering,Digital
285,2017,2017-11-20,5,Outstanding,numeric,Medium,false,420,IC2,BR,Digital Marketing,Digital
286,2017,2017-11-20,3,Meets Expectations,numeric,High,false,187,IC4,BR,Procurement,Corporate
287,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,467,IC2,BR,Store Operations,Retail
288,2017,2017-11-20,4,Exceeds Expectations,numeric,Medium,false,252,IC2,BR,Customer Operations,Customer
290,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,42,IC1,BR,Sales,Retail
292,2017,2017-11-20,4,Exceeds Expectations,numeric,Low,false,121,M2,BR,Sales,Retail
294,2017,2017-11-20,3,Meets Expectations,numeric,High,false,181,IC3,BR,Visual Merchandising,Retail
295,2017,2017-11-20,4,Exceeds Expectations,numeric,High,false,10,M1,BR,Procurement,Supply Chain
296,2017,2017-11-20,2,Developing,numeric,Low,false,27,IC2,BR,Finance,Corporate
297,2017,2017-11-20,1,Below Expectations,numeric,Low,false,295,IC4,BR,Procurement,Supply Chain
298,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,327,IC3,BR,People,Corporate
301,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,90,IC1,BR,Customer Experience,Customer
302,2017,2017-11-20,3,Meets Expectations,numeric,Medium,true,319,IC2,BR,Procurement,Supply Chain
303,2017,2017-11-20,1,Below Expectations,numeric,Low,false,10,M2,BR,Logistics,Supply Chain
305,2017,2017-11-20,3,Meets Expectations,numeric,High,true,335,IC3,BR,Planning,Supply Chain
307,2017,2017-11-20,3,Meets Expectations,numeric,High,false,700,M2,BR,Visual Merchandising,Retail
308,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,406,IC3,BR,Legal,Corporate
309,2017,2017-11-20,3,Meets Expectations,numeric,Medium,false,62,M5,BR,People,Corporate
310,2017,2017-11-20,3,Meets Expectations,numeric,Low,false,578,M1,BR,Customer Service,Customer
